asset,yr,n_days,avg_spread,avg_pct_spread,pct_days_backwardated
ZW,2011,286,-31.36625874125874,-4.2125016283382894,0.34965034965034963
ZW,2012,293,-12.79863481228669,-1.66509253946617,2.04778156996587
ZW,2013,263,-8.34980988593156,-1.2165783427152916,4.182509505703422
ZW,2014,252,-8.109126984126984,-1.4087531723457192,9.920634920634921
ZW,2015,252,-4.274801587301587,-0.8467984490003457,15.079365079365079
ZW,2016,252,-14.016865079365079,-3.2047906905246477,0.3968253968253968
ZW,2017,251,-17.53784860557769,-3.860552975880279,0.0
ZW,2018,253,-13.876482213438734,-2.707390935356968,5.138339920948617
ZW,2019,252,-4.2351190476190474,-0.8697604512064614,10.317460317460316
ZW,2020,252,-2.2222222222222223,-0.40400131900919106,30.555555555555557
ZW,2021,252,-5.208333333333333,-0.6998115767367233,16.666666666666664
ZW,2022,251,-9.669322709163346,-1.1573304323237479,9.163346613545817
ZW,2023,250,-17.537,-2.737384701334515,0.0
ZW,2024,252,-16.390873015873016,-2.781798332377552,3.968253968253968
ZW,2025,251,-14.725099601593625,-2.6939736156500462,2.3904382470119523
ZW,2026,116,-9.95905172413793,-1.6732896965445707,3.4482758620689653
